num_draws,VTT,LL,elapsed_time
33,22.059898,-5122.679071,6.455967
50,21.412247903548348,-5118.54909769531,16.99551796913147
150,21.29027658111369,-5118.080490417218,25.531708002090454
250,21.17391187695738,-5117.123379654993,39.96052575111389
350,21.268211500055777,-5118.041626607575,58.15072274208069
450,21.223515373653125,-5117.669199563754,63.32897591590881
550,21.23907898437519,-5117.481127425026,89.1851372718811
650,21.220254998039326,-5117.467516203832,99.6764988899231
750,21.262668034970332,-5117.704127120148,126.7882239818573
850,21.215579620660787,-5117.335197795433,129.04032111167908
950,21.21706504350071,-5117.3320492455605,147.63293409347534
1050,21.21188130412298,-5117.322383695149,162.54588913917542
1150,21.227205928052747,-5117.36375596668,171.36642694473267
1250,21.230081632009,-5117.532149777124,191.4634370803833
1350,21.225415938758548,-5117.485058752545,209.4937880039215
1450,21.20790221687495,-5117.38835913619,223.04363012313843
1550,21.21976515664003,-5117.393142343095,232.01581597328186
1650,21.226040733527075,-5117.430372570967,257.47585272789
1750,21.224476854373563,-5117.4387518266885,262.8155062198639
1850,21.21558574634425,-5117.406216390969,283.3207960128784
1950,21.226633866703214,-5117.4642719547855,292.22686219215393
